Returning visitor,Returning visitor ID,Visitors,Sessions,Bounce rate,Goal conversions,Goal conversion rate,Sum of goal revenue
New,0,58,58,0.5344827586206896,0,0.0,
Returning,1,4,24,0.3333333333333333,0,0.0,
