resolución,publicado,identificador,resumen,numero,año,norma_que_modifica,normas_que_la_modifican,norma_que_la_deroga,estado,normas_que_deroga
Resolución 18 de 2024 de Ministerio del Transporte,Gaceta Oficial No. 70 Ordinaria de 2024,GOC-2024-403-O70,"Declara a las Bases de Pesca Deportivo-Recreativas, como puertos pesqueros de interés local, subordinados a los gobiernos municipales.",18,2024,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Decreto Ley 60 de 2022 de Consejo de Estado,Gaceta Oficial No. 32 Extraordinaria de 2022,GOC-2022-499-EX32,"""Del reconocimiento del tiempo de servicios para el otorgamiento de las pensiones a los pescadores comerciales""",60,2022,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 382 de 2021 de Ministerio de Finanzas y Precios,Gaceta Oficial No. 107 Ordinaria de 2021,GOC-2021-866-O107,Establece la forma de pago del Impuesto sobre los Ingresos Personales y la Contribución Especial de la Seguridad Social para los trabajadores por cuenta propia que ejercen la pesca comercial.,382,2021,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 38 de 2021 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 47 Ordinaria de 2021,GOC-2021-425-O47,Declara los embalses de interés para la pesca comercial estatal acuícola que ejecutan las empresas integradas al Grupo Empresarial de la Industria Alimentaria y permite otros tipos de pesca que puede realizarse en dichos embalses.,38,2021,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Resolución 19 de 2020 de Ministerio de la Industria Alimentaria,"
Resolución 37 de 2021 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 47 Ordinaria de 2021,GOC-2021-424-O47,Declara los embalses en los que puede practicarse la pesca estatal acuícola y la pesca deportiva y recreativa.,37,2021,Resolución 20 de 2020 de Ministerio de la Industria Alimentaria,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,No deroga
Resolución 36 de 2021 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 47 Ordinaria de 2021,GOC-2021-423-O47,Aprueba el “Procedimiento para el otorgamiento de autorizaciones de pesca en la República de Cuba”.,36,2021,No modifica,"

      No existen referencias de normas    
","


 Resolución 17 de 2022 de Ministerio de la Industria Alimentaria  

",Derogada,"Resolución 18 de 2020 de Ministerio de la Industria Alimentaria,Resolución 132 de 2020 de Ministerio de la Industria Alimentaria,"
Decreto 1 de 2019 de Consejo de Ministros,Gaceta Oficial No. 11 Ordinaria de 2020,GOC-2020-112-O11,"REGLAMENTO DE LA LEY 129 “LEY DE PESCA” Establece las regulaciones y los procedimientos para la administración, conservación y explotación económica sostenible de los recursos hidrobiológicos y en especial de los pesqueros, en las aguas marítimas, fluviales y lacustres de la República de Cuba.",1,2019,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Resolución 354 de 2001 de Ministerio de la Industria Pesquera,Resolución 503 de 2012 de Ministerio de la Industria Alimentaria,"
Ley 129 de 2019 de Asamblea Nacional del Poder Popular,Gaceta Oficial No. 11 Ordinaria de 2020,GOC-2020-111-O11,"LEY DE PESCA Establece las regulaciones para el adecuado ordenamiento, administración y control de la pesca, en función de la conservación y el aprovechamiento racional de los recursos hidrobiológicos en las aguas marítimas, fluviales y lacustres de la República de Cuba, con el fin de contribuir a la soberanía alimentaria de la nación.",129,2019,No modifica,"

      No existen referencias de normas    
","

      No existen referencias de normas    
",No disponible,"Decreto Ley 164 de 1996 de Consejo de Estado,"
Resolución 353 de 2010 de Ministerio de la Industria Alimentaria,Gaceta Oficial No. 25 Ordinaria de 2010,No disponible,"Actualiza y pone en vigor en todo el territorio nacional los requisitos que deberán cumplir las personas naturales cubanas al solicitar la Licencia de Pesca Comercial Privada, así como las tarifas oficiales anuales que abonarán una vez aprobada la solicitud.",353,2010,No modifica,"

      No existen referencias de normas    
","


 Resolución 18 de 2020 de Ministerio de la Industria Alimentaria  

",Derogada,"Resolución 1 de 2009 de Ministerio de la Industria Pesquera,"
